run,s_len,x_len,y_len,x_count,y_count,interweaving_len,n_ops,n_comps
0,4,2,2,2,0,2,193,21
1,8,2,2,2,0,2,181,23
2,8,2,4,2,0,2,270,33
3,8,4,2,0,0,0,802,91
4,8,4,4,0,0,0,518,59
5,16,2,2,4,0,4,1145,161
6,16,2,4,4,0,4,1377,188
7,16,2,8,4,0,4,1377,188
8,16,4,2,4,0,4,1968,258
9,16,4,4,4,4,8,1567,226
10,16,4,8,4,0,4,1898,244
11,16,8,2,8,2,10,1700,245
12,16,8,4,8,4,12,1668,236
13,16,8,8,0,0,0,1842,222
14,32,2,2,2,0,2,2718,373
15,32,2,4,2,0,2,4025,539
16,32,2,8,2,0,2,4025,539
17,32,2,16,2,0,2,4003,535
18,32,4,2,16,14,30,7015,1030
19,32,4,4,0,0,0,6427,791
20,32,4,8,0,0,0,6395,787
21,32,4,16,0,0,0,5886,725
22,32,8,2,0,0,0,6031,746
23,32,8,4,0,0,0,6349,784
24,32,8,8,0,0,0,7076,863
25,32,8,16,0,0,0,6797,835
26,32,16,2,0,0,0,7697,947
27,32,16,4,0,0,0,7139,878
28,32,16,8,0,0,0,7139,878
29,32,16,16,0,0,0,7005,863
30,64,2,2,4,0,4,18102,2527
31,64,2,4,4,0,4,21756,2952
32,64,2,8,4,0,4,21756,2952
33,64,2,16,4,0,4,21772,2958
34,64,2,32,4,0,4,22808,3071
35,64,4,2,12,4,16,25256,3594
36,64,4,4,16,8,24,23485,3346
37,64,4,8,8,0,8,24612,3342
38,64,4,16,8,0,8,23679,3261
39,64,4,32,8,0,8,23733,3279
40,64,8,2,8,0,8,25001,3408
41,64,8,4,8,0,8,23658,3285
42,64,8,8,8,0,8,22425,3152
43,64,8,16,8,0,8,22847,3194
44,64,8,32,8,0,8,22252,3131
45,64,16,2,0,0,0,24716,3079
46,64,16,4,0,0,0,25145,3131
47,64,16,8,0,0,0,25145,3131
48,64,16,16,0,0,0,25323,3150
49,64,16,32,0,0,0,25499,3172
50,64,32,2,0,0,0,20764,2587
51,64,32,4,0,0,0,22896,2852
52,64,32,8,0,0,0,23757,2961
53,64,32,16,0,0,0,24847,3095
54,64,32,32,0,0,0,24306,3029
55,128,2,2,4,0,4,59932,8417
56,128,2,4,4,0,4,75779,10412
57,128,2,8,4,0,4,75779,10412
58,128,2,16,4,0,4,76106,10429
59,128,2,32,4,0,4,80612,10951
60,128,4,2,12,4,16,103919,14524
61,128,4,4,8,0,8,89927,12503
62,128,4,8,8,0,8,90278,12507
63,128,4,16,8,0,8,86574,12050
64,128,4,32,8,0,8,88677,12271
65,128,8,2,16,8,24,88214,12587
66,128,8,4,0,0,0,100633,12556
67,128,8,8,0,0,0,100314,12514
68,128,8,16,0,0,0,100927,12589
69,128,8,32,0,0,0,100150,12497
70,128,16,2,0,6,6,95793,12967
71,128,16,4,0,0,0,101446,12667
72,128,16,8,0,0,0,101446,12667
73,128,16,16,0,0,0,101069,12618
74,128,16,32,0,0,0,100844,12588
75,128,32,2,0,2,2,88082,11487
76,128,32,4,0,0,0,95460,11916
77,128,32,8,0,0,0,97750,12194
78,128,32,16,0,0,0,99982,12476
79,128,32,32,0,0,0,99070,12362
80,256,2,2,8,0,8,244321,34847
81,256,2,4,8,0,8,302490,42539
82,256,2,8,8,0,8,302490,42539
83,256,2,16,8,0,8,303029,42551
84,256,2,32,8,0,8,318087,44508
85,256,4,2,12,8,20,402339,57248
86,256,4,4,16,8,24,349856,49943
87,256,4,8,8,0,8,357551,49949
88,256,4,16,8,0,8,344018,48110
89,256,4,32,8,0,8,351002,48974
90,256,8,2,8,4,12,359402,50664
91,256,8,4,0,0,0,399748,49949
92,256,8,8,0,0,0,396872,49575
93,256,8,16,0,0,0,397042,49607
94,256,8,32,0,0,0,394800,49330
95,256,16,2,0,0,0,404823,50586
96,256,16,4,16,4,20,350591,50069
97,256,16,8,0,0,0,401067,50114
98,256,16,16,0,0,0,399758,49952
99,256,16,32,0,0,0,398462,49790
100,256,32,2,0,0,0,358963,44849
101,256,32,4,0,0,0,376450,47035
102,256,32,8,0,0,0,385353,48146
103,256,32,16,0,0,0,394750,49314
104,256,32,32,0,0,0,390298,48759
105,512,2,2,6,0,6,904685,129105
106,512,2,4,6,0,6,1157383,162329
107,512,2,8,6,0,6,1157383,162329
108,512,2,16,6,0,6,1159276,162300
109,512,2,32,6,0,6,1227111,170630
110,512,4,2,20,26,46,1614802,230661
111,512,4,4,8,4,12,1392519,196650
112,512,4,8,8,0,8,1411278,196559
113,512,4,16,8,0,8,1343052,188049
114,512,4,32,8,0,8,1377665,192064
115,512,8,2,8,2,10,1395972,196171
116,512,8,4,16,8,24,1377661,196567
117,512,8,8,8,0,8,1417885,197137
118,512,8,16,8,0,8,1415451,197051
119,512,8,32,8,0,8,1417974,197293
120,512,16,2,16,8,24,1447057,206231
121,512,16,4,0,0,0,1613250,201636
122,512,16,8,0,0,0,1613250,201636
123,512,16,16,0,0,0,1603894,200467
124,512,16,32,0,0,0,1590737,198824
125,512,32,2,0,0,0,1483818,185456
126,512,32,4,0,0,0,1531968,191463
127,512,32,8,0,0,0,1555910,194453
128,512,32,16,0,0,0,1579480,197399
129,512,32,32,0,0,0,1568055,195972
